tubeID,BIR_Nt,PAL_Nt,PAN_Nt,PSA_Nt,SIM_Nt,SUL_Nt,Type,BIR_0,PAL_0,PAN_0,PSA_0,SIM_0,SUL_0,FocalSpecies,OtherSp,Parasitism,ObsCount_Pairs,i,j,FocalSpeciesStartDens,OtherSpeciesStartDens
130,15,0,0,0,0,0,Sp1,3,0,3,0,0,0,BIR,PAN,Safe,15,1,3,3,3
130,0,0,18,0,0,0,Sp2,3,0,3,0,0,0,PAN,BIR,Safe,18,3,1,3,3
131,3,0,0,0,0,0,Sp1,3,0,3,0,0,0,BIR,PAN,Safe,3,1,3,3,3
131,0,0,8,0,0,0,Sp2,3,0,3,0,0,0,PAN,BIR,Safe,8,3,1,3,3
132,6,0,0,0,0,0,Sp1,3,0,3,0,0,0,BIR,PAN,Safe,6,1,3,3,3
132,0,0,10,0,0,0,Sp2,3,0,3,0,0,0,PAN,BIR,Safe,10,3,1,3,3
142,4,0,0,0,0,0,Sp1,3,0,6,0,0,0,BIR,PAN,Safe,4,1,3,3,6
142,0,0,26,0,0,0,Sp2,3,0,6,0,0,0,PAN,BIR,Safe,26,3,1,6,3
143,3,0,0,0,0,0,Sp1,3,0,6,0,0,0,BIR,PAN,Safe,3,1,3,3,6
143,0,0,11,0,0,0,Sp2,3,0,6,0,0,0,PAN,BIR,Safe,11,3,1,6,3
144,2,0,0,0,0,0,Sp1,3,0,6,0,0,0,BIR,PAN,Safe,2,1,3,3,6
144,0,0,23,0,0,0,Sp2,3,0,6,0,0,0,PAN,BIR,Safe,23,3,1,6,3
154,8,0,0,0,0,0,Sp1,3,0,9,0,0,0,BIR,PAN,Safe,8,1,3,3,9
154,0,0,22,0,0,0,Sp2,3,0,9,0,0,0,PAN,BIR,Safe,22,3,1,9,3
155,7,0,0,0,0,0,Sp1,3,0,9,0,0,0,BIR,PAN,Safe,7,1,3,3,9
155,0,0,33,0,0,0,Sp2,3,0,9,0,0,0,PAN,BIR,Safe,33,3,1,9,3
156,9,0,0,0,0,0,Sp1,3,0,9,0,0,0,BIR,PAN,Safe,9,1,3,3,9
156,0,0,28,0,0,0,Sp2,3,0,9,0,0,0,PAN,BIR,Safe,28,3,1,9,3
166,3,0,0,0,0,0,Sp1,3,0,12,0,0,0,BIR,PAN,Safe,3,1,3,3,12
166,0,0,44,0,0,0,Sp2,3,0,12,0,0,0,PAN,BIR,Safe,44,3,1,12,3
167,2,0,0,0,0,0,Sp1,3,0,12,0,0,0,BIR,PAN,Safe,2,1,3,3,12
167,0,0,55,0,0,0,Sp2,3,0,12,0,0,0,PAN,BIR,Safe,55,3,1,12,3
168,7,0,0,0,0,0,Sp1,3,0,12,0,0,0,BIR,PAN,Safe,7,1,3,3,12
168,0,0,27,0,0,0,Sp2,3,0,12,0,0,0,PAN,BIR,Safe,27,3,1,12,3
178,16,0,0,0,0,0,Sp1,6,0,3,0,0,0,BIR,PAN,Safe,16,1,3,6,3
178,0,0,5,0,0,0,Sp2,6,0,3,0,0,0,PAN,BIR,Safe,5,3,1,3,6
179,16,0,0,0,0,0,Sp1,6,0,3,0,0,0,BIR,PAN,Safe,16,1,3,6,3
179,0,0,22,0,0,0,Sp2,6,0,3,0,0,0,PAN,BIR,Safe,22,3,1,3,6
180,8,0,0,0,0,0,Sp1,6,0,3,0,0,0,BIR,PAN,Safe,8,1,3,6,3
180,0,0,18,0,0,0,Sp2,6,0,3,0,0,0,PAN,BIR,Safe,18,3,1,3,6
190,16,0,0,0,0,0,Sp1,9,0,3,0,0,0,BIR,PAN,Safe,16,1,3,9,3
190,0,0,19,0,0,0,Sp2,9,0,3,0,0,0,PAN,BIR,Safe,19,3,1,3,9
191,40,0,0,0,0,0,Sp1,9,0,3,0,0,0,BIR,PAN,Safe,40,1,3,9,3
191,0,0,9,0,0,0,Sp2,9,0,3,0,0,0,PAN,BIR,Safe,9,3,1,3,9
192,18,0,0,0,0,0,Sp1,9,0,3,0,0,0,BIR,PAN,Safe,18,1,3,9,3
192,0,0,17,0,0,0,Sp2,9,0,3,0,0,0,PAN,BIR,Safe,17,3,1,3,9
202,17,0,0,0,0,0,Sp1,12,0,3,0,0,0,BIR,PAN,Safe,17,1,3,12,3
202,0,0,17,0,0,0,Sp2,12,0,3,0,0,0,PAN,BIR,Safe,17,3,1,3,12
203,12,0,0,0,0,0,Sp1,12,0,3,0,0,0,BIR,PAN,Safe,12,1,3,12,3
203,0,0,2,0,0,0,Sp2,12,0,3,0,0,0,PAN,BIR,Safe,2,3,1,3,12
204,15,0,0,0,0,0,Sp1,12,0,3,0,0,0,BIR,PAN,Safe,15,1,3,12,3
204,0,0,30,0,0,0,Sp2,12,0,3,0,0,0,PAN,BIR,Safe,30,3,1,3,12
213,19,0,0,0,0,0,Sp1,3,0,0,3,0,0,BIR,PSA,Safe,19,1,4,3,3
213,0,0,0,5,0,0,Sp2,3,0,0,3,0,0,PSA,BIR,Safe,5,4,1,3,3
214,11,0,0,0,0,0,Sp1,3,0,0,3,0,0,BIR,PSA,Safe,11,1,4,3,3
214,0,0,0,8,0,0,Sp2,3,0,0,3,0,0,PSA,BIR,Safe,8,4,1,3,3
215,11,0,0,0,0,0,Sp1,3,0,0,3,0,0,BIR,PSA,Safe,11,1,4,3,3
215,0,0,0,12,0,0,Sp2,3,0,0,3,0,0,PSA,BIR,Safe,12,4,1,3,3
216,15,0,0,0,0,0,Sp1,3,0,0,3,0,0,BIR,PSA,Safe,15,1,4,3,3
216,0,0,0,21,0,0,Sp2,3,0,0,3,0,0,PSA,BIR,Safe,21,4,1,3,3
225,1,0,0,0,0,0,Sp1,3,0,0,6,0,0,BIR,PSA,Safe,1,1,4,3,6
225,0,0,0,5,0,0,Sp2,3,0,0,6,0,0,PSA,BIR,Safe,5,4,1,6,3
226,9,0,0,0,0,0,Sp1,3,0,0,6,0,0,BIR,PSA,Safe,9,1,4,3,6
226,0,0,0,21,0,0,Sp2,3,0,0,6,0,0,PSA,BIR,Safe,21,4,1,6,3
227,7,0,0,0,0,0,Sp1,3,0,0,6,0,0,BIR,PSA,Safe,7,1,4,3,6
227,0,0,0,23,0,0,Sp2,3,0,0,6,0,0,PSA,BIR,Safe,23,4,1,6,3
228,10,0,0,0,0,0,Sp1,3,0,0,6,0,0,BIR,PSA,Safe,10,1,4,3,6
228,0,0,0,29,0,0,Sp2,3,0,0,6,0,0,PSA,BIR,Safe,29,4,1,6,3
237,10,0,0,0,0,0,Sp1,3,0,0,9,0,0,BIR,PSA,Safe,10,1,4,3,9
237,0,0,0,11,0,0,Sp2,3,0,0,9,0,0,PSA,BIR,Safe,11,4,1,9,3
238,12,0,0,0,0,0,Sp1,3,0,0,9,0,0,BIR,PSA,Safe,12,1,4,3,9
238,0,0,0,26,0,0,Sp2,3,0,0,9,0,0,PSA,BIR,Safe,26,4,1,9,3
239,18,0,0,0,0,0,Sp1,3,0,0,9,0,0,BIR,PSA,Safe,18,1,4,3,9
239,0,0,0,35,0,0,Sp2,3,0,0,9,0,0,PSA,BIR,Safe,35,4,1,9,3
240,16,0,0,0,0,0,Sp1,3,0,0,9,0,0,BIR,PSA,Safe,16,1,4,3,9
240,0,0,0,28,0,0,Sp2,3,0,0,9,0,0,PSA,BIR,Safe,28,4,1,9,3
249,2,0,0,0,0,0,Sp1,3,0,0,12,0,0,BIR,PSA,Safe,2,1,4,3,12
249,0,0,0,12,0,0,Sp2,3,0,0,12,0,0,PSA,BIR,Safe,12,4,1,12,3
250,9,0,0,0,0,0,Sp1,3,0,0,12,0,0,BIR,PSA,Safe,9,1,4,3,12
250,0,0,0,35,0,0,Sp2,3,0,0,12,0,0,PSA,BIR,Safe,35,4,1,12,3
251,9,0,0,0,0,0,Sp1,3,0,0,12,0,0,BIR,PSA,Safe,9,1,4,3,12
251,0,0,0,33,0,0,Sp2,3,0,0,12,0,0,PSA,BIR,Safe,33,4,1,12,3
252,20,0,0,0,0,0,Sp1,3,0,0,12,0,0,BIR,PSA,Safe,20,1,4,3,12
252,0,0,0,41,0,0,Sp2,3,0,0,12,0,0,PSA,BIR,Safe,41,4,1,12,3
261,11,0,0,0,0,0,Sp1,6,0,0,3,0,0,BIR,PSA,Safe,11,1,4,6,3
261,0,0,0,6,0,0,Sp2,6,0,0,3,0,0,PSA,BIR,Safe,6,4,1,3,6
262,17,0,0,0,0,0,Sp1,6,0,0,3,0,0,BIR,PSA,Safe,17,1,4,6,3
262,0,0,0,12,0,0,Sp2,6,0,0,3,0,0,PSA,BIR,Safe,12,4,1,3,6
263,36,0,0,0,0,0,Sp1,6,0,0,3,0,0,BIR,PSA,Safe,36,1,4,6,3
263,0,0,0,4,0,0,Sp2,6,0,0,3,0,0,PSA,BIR,Safe,4,4,1,3,6
264,25,0,0,0,0,0,Sp1,6,0,0,3,0,0,BIR,PSA,Safe,25,1,4,6,3
264,0,0,0,18,0,0,Sp2,6,0,0,3,0,0,PSA,BIR,Safe,18,4,1,3,6
273,21,0,0,0,0,0,Sp1,9,0,0,3,0,0,BIR,PSA,Safe,21,1,4,9,3
273,0,0,0,0,0,0,Sp2,9,0,0,3,0,0,PSA,BIR,Safe,0,4,1,3,9
274,30,0,0,0,0,0,Sp1,9,0,0,3,0,0,BIR,PSA,Safe,30,1,4,9,3
274,0,0,0,22,0,0,Sp2,9,0,0,3,0,0,PSA,BIR,Safe,22,4,1,3,9
275,35,0,0,0,0,0,Sp1,9,0,0,3,0,0,BIR,PSA,Safe,35,1,4,9,3
275,0,0,0,6,0,0,Sp2,9,0,0,3,0,0,PSA,BIR,Safe,6,4,1,3,9
276,22,0,0,0,0,0,Sp1,9,0,0,3,0,0,BIR,PSA,Safe,22,1,4,9,3
276,0,0,0,12,0,0,Sp2,9,0,0,3,0,0,PSA,BIR,Safe,12,4,1,3,9
285,20,0,0,0,0,0,Sp1,12,0,0,3,0,0,BIR,PSA,Safe,20,1,4,12,3
285,0,0,0,3,0,0,Sp2,12,0,0,3,0,0,PSA,BIR,Safe,3,4,1,3,12
286,35,0,0,0,0,0,Sp1,12,0,0,3,0,0,BIR,PSA,Safe,35,1,4,12,3
286,0,0,0,12,0,0,Sp2,12,0,0,3,0,0,PSA,BIR,Safe,12,4,1,3,12
287,37,0,0,0,0,0,Sp1,12,0,0,3,0,0,BIR,PSA,Safe,37,1,4,12,3
287,0,0,0,21,0,0,Sp2,12,0,0,3,0,0,PSA,BIR,Safe,21,4,1,3,12
288,28,0,0,0,0,0,Sp1,12,0,0,3,0,0,BIR,PSA,Safe,28,1,4,12,3
288,0,0,0,6,0,0,Sp2,12,0,0,3,0,0,PSA,BIR,Safe,6,4,1,3,12
297,4,0,0,0,0,0,Sp1,3,0,0,0,3,0,BIR,SIM,Safe,4,1,5,3,3
297,0,0,0,0,12,0,Sp2,3,0,0,0,3,0,SIM,BIR,Safe,12,5,1,3,3
298,3,0,0,0,0,0,Sp1,3,0,0,0,3,0,BIR,SIM,Safe,3,1,5,3,3
298,0,0,0,0,15,0,Sp2,3,0,0,0,3,0,SIM,BIR,Safe,15,5,1,3,3
299,9,0,0,0,0,0,Sp1,3,0,0,0,3,0,BIR,SIM,Safe,9,1,5,3,3
299,0,0,0,0,23,0,Sp2,3,0,0,0,3,0,SIM,BIR,Safe,23,5,1,3,3
309,5,0,0,0,0,0,Sp1,3,0,0,0,6,0,BIR,SIM,Safe,5,1,5,3,6
309,0,0,0,0,22,0,Sp2,3,0,0,0,6,0,SIM,BIR,Safe,22,5,1,6,3
310,2,0,0,0,0,0,Sp1,3,0,0,0,6,0,BIR,SIM,Safe,2,1,5,3,6
310,0,0,0,0,18,0,Sp2,3,0,0,0,6,0,SIM,BIR,Safe,18,5,1,6,3
311,2,0,0,0,0,0,Sp1,3,0,0,0,6,0,BIR,SIM,Safe,2,1,5,3,6
311,0,0,0,0,35,0,Sp2,3,0,0,0,6,0,SIM,BIR,Safe,35,5,1,6,3
321,3,0,0,0,0,0,Sp1,3,0,0,0,9,0,BIR,SIM,Safe,3,1,5,3,9
321,0,0,0,0,40,0,Sp2,3,0,0,0,9,0,SIM,BIR,Safe,40,5,1,9,3
322,2,0,0,0,0,0,Sp1,3,0,0,0,9,0,BIR,SIM,Safe,2,1,5,3,9
322,0,0,0,0,26,0,Sp2,3,0,0,0,9,0,SIM,BIR,Safe,26,5,1,9,3
323,3,0,0,0,0,0,Sp1,3,0,0,0,9,0,BIR,SIM,Safe,3,1,5,3,9
323,0,0,0,0,48,0,Sp2,3,0,0,0,9,0,SIM,BIR,Safe,48,5,1,9,3
333,3,0,0,0,0,0,Sp1,3,0,0,0,12,0,BIR,SIM,Safe,3,1,5,3,12
333,0,0,0,0,45,0,Sp2,3,0,0,0,12,0,SIM,BIR,Safe,45,5,1,12,3
334,1,0,0,0,0,0,Sp1,3,0,0,0,12,0,BIR,SIM,Safe,1,1,5,3,12
334,0,0,0,0,31,0,Sp2,3,0,0,0,12,0,SIM,BIR,Safe,31,5,1,12,3
335,2,0,0,0,0,0,Sp1,3,0,0,0,12,0,BIR,SIM,Safe,2,1,5,3,12
335,0,0,0,0,48,0,Sp2,3,0,0,0,12,0,SIM,BIR,Safe,48,5,1,12,3
345,14,0,0,0,0,0,Sp1,6,0,0,0,3,0,BIR,SIM,Safe,14,1,5,6,3
345,0,0,0,0,17,0,Sp2,6,0,0,0,3,0,SIM,BIR,Safe,17,5,1,3,6
346,8,0,0,0,0,0,Sp1,6,0,0,0,3,0,BIR,SIM,Safe,8,1,5,6,3
346,0,0,0,0,12,0,Sp2,6,0,0,0,3,0,SIM,BIR,Safe,12,5,1,3,6
347,6,0,0,0,0,0,Sp1,6,0,0,0,3,0,BIR,SIM,Safe,6,1,5,6,3
347,0,0,0,0,23,0,Sp2,6,0,0,0,3,0,SIM,BIR,Safe,23,5,1,3,6
357,8,0,0,0,0,0,Sp1,9,0,0,0,3,0,BIR,SIM,Safe,8,1,5,9,3
357,0,0,0,0,10,0,Sp2,9,0,0,0,3,0,SIM,BIR,Safe,10,5,1,3,9
358,18,0,0,0,0,0,Sp1,9,0,0,0,3,0,BIR,SIM,Safe,18,1,5,9,3
358,0,0,0,0,12,0,Sp2,9,0,0,0,3,0,SIM,BIR,Safe,12,5,1,3,9
359,8,0,0,0,0,0,Sp1,9,0,0,0,3,0,BIR,SIM,Safe,8,1,5,9,3
359,0,0,0,0,13,0,Sp2,9,0,0,0,3,0,SIM,BIR,Safe,13,5,1,3,9
369,14,0,0,0,0,0,Sp1,12,0,0,0,3,0,BIR,SIM,Safe,14,1,5,12,3
369,0,0,0,0,31,0,Sp2,12,0,0,0,3,0,SIM,BIR,Safe,31,5,1,3,12
370,13,0,0,0,0,0,Sp1,12,0,0,0,3,0,BIR,SIM,Safe,13,1,5,12,3
370,0,0,0,0,18,0,Sp2,12,0,0,0,3,0,SIM,BIR,Safe,18,5,1,3,12
371,21,0,0,0,0,0,Sp1,12,0,0,0,3,0,BIR,SIM,Safe,21,1,5,12,3
371,0,0,0,0,15,0,Sp2,12,0,0,0,3,0,SIM,BIR,Safe,15,5,1,3,12
382,7,0,0,0,0,0,Sp1,3,0,0,0,0,3,BIR,SUL,Safe,7,1,6,3,3
382,0,0,0,0,0,0.5,Sp2,3,0,0,0,0,3,SUL,BIR,Safe,0.5,6,1,3,3
383,7,0,0,0,0,0,Sp1,3,0,0,0,0,3,BIR,SUL,Safe,7,1,6,3,3
383,0,0,0,0,0,9,Sp2,3,0,0,0,0,3,SUL,BIR,Safe,9,6,1,3,3
384,7,0,0,0,0,0,Sp1,3,0,0,0,0,3,BIR,SUL,Safe,7,1,6,3,3
384,0,0,0,0,0,20.5,Sp2,3,0,0,0,0,3,SUL,BIR,Safe,20.5,6,1,3,3
394,7,0,0,0,0,0,Sp1,3,0,0,0,0,6,BIR,SUL,Safe,7,1,6,3,6
394,0,0,0,0,0,18.5,Sp2,3,0,0,0,0,6,SUL,BIR,Safe,18.5,6,1,6,3
395,10,0,0,0,0,0,Sp1,3,0,0,0,0,6,BIR,SUL,Safe,10,1,6,3,6
395,0,0,0,0,0,11.5,Sp2,3,0,0,0,0,6,SUL,BIR,Safe,11.5,6,1,6,3
396,1.5,0,0,0,0,0,Sp1,3,0,0,0,0,6,BIR,SUL,Safe,1.5,1,6,3,6
396,0,0,0,0,0,31.5,Sp2,3,0,0,0,0,6,SUL,BIR,Safe,31.5,6,1,6,3
406,9,0,0,0,0,0,Sp1,3,0,0,0,0,9,BIR,SUL,Safe,9,1,6,3,9
406,0,0,0,0,0,16,Sp2,3,0,0,0,0,9,SUL,BIR,Safe,16,6,1,9,3
407,0.5,0,0,0,0,0,Sp1,3,0,0,0,0,9,BIR,SUL,Safe,0.5,1,6,3,9
407,0,0,0,0,0,45.5,Sp2,3,0,0,0,0,9,SUL,BIR,Safe,45.5,6,1,9,3
408,0,0,0,0,0,0,Sp1,3,0,0,0,0,9,BIR,SUL,Safe,0,1,6,3,9
408,0,0,0,0,0,41,Sp2,3,0,0,0,0,9,SUL,BIR,Safe,41,6,1,9,3
418,10.5,0,0,0,0,0,Sp1,3,0,0,0,0,12,BIR,SUL,Safe,10.5,1,6,3,12
418,0,0,0,0,0,24,Sp2,3,0,0,0,0,12,SUL,BIR,Safe,24,6,1,12,3
419,9,0,0,0,0,0,Sp1,3,0,0,0,0,12,BIR,SUL,Safe,9,1,6,3,12
419,0,0,0,0,0,32,Sp2,3,0,0,0,0,12,SUL,BIR,Safe,32,6,1,12,3
420,7,0,0,0,0,0,Sp1,3,0,0,0,0,12,BIR,SUL,Safe,7,1,6,3,12
420,0,0,0,0,0,13,Sp2,3,0,0,0,0,12,SUL,BIR,Safe,13,6,1,12,3
430,7,0,0,0,0,0,Sp1,6,0,0,0,0,3,BIR,SUL,Safe,7,1,6,6,3
430,0,0,0,0,0,15.5,Sp2,6,0,0,0,0,3,SUL,BIR,Safe,15.5,6,1,3,6
431,17,0,0,0,0,0,Sp1,6,0,0,0,0,3,BIR,SUL,Safe,17,1,6,6,3
431,0,0,0,0,0,29.5,Sp2,6,0,0,0,0,3,SUL,BIR,Safe,29.5,6,1,3,6
432,13.5,0,0,0,0,0,Sp1,6,0,0,0,0,3,BIR,SUL,Safe,13.5,1,6,6,3
432,0,0,0,0,0,26.5,Sp2,6,0,0,0,0,3,SUL,BIR,Safe,26.5,6,1,3,6
442,17,0,0,0,0,0,Sp1,9,0,0,0,0,3,BIR,SUL,Safe,17,1,6,9,3
442,0,0,0,0,0,5,Sp2,9,0,0,0,0,3,SUL,BIR,Safe,5,6,1,3,9
443,24,0,0,0,0,0,Sp1,9,0,0,0,0,3,BIR,SUL,Safe,24,1,6,9,3
443,0,0,0,0,0,10.5,Sp2,9,0,0,0,0,3,SUL,BIR,Safe,10.5,6,1,3,9
444,24,0,0,0,0,0,Sp1,9,0,0,0,0,3,BIR,SUL,Safe,24,1,6,9,3
444,0,0,0,0,0,19.5,Sp2,9,0,0,0,0,3,SUL,BIR,Safe,19.5,6,1,3,9
454,17.5,0,0,0,0,0,Sp1,12,0,0,0,0,3,BIR,SUL,Safe,17.5,1,6,12,3
454,0,0,0,0,0,5.5,Sp2,12,0,0,0,0,3,SUL,BIR,Safe,5.5,6,1,3,12
455,45.5,0,0,0,0,0,Sp1,12,0,0,0,0,3,BIR,SUL,Safe,45.5,1,6,12,3
455,0,0,0,0,0,12,Sp2,12,0,0,0,0,3,SUL,BIR,Safe,12,6,1,3,12
456,18.5,0,0,0,0,0,Sp1,12,0,0,0,0,3,BIR,SUL,Safe,18.5,1,6,12,3
456,0,0,0,0,0,4,Sp2,12,0,0,0,0,3,SUL,BIR,Safe,4,6,1,3,12
586,0,17,0,0,0,0,Sp1,3,3,0,0,0,0,PAL,BIR,Safe,17,2,1,3,3
586,5,0,0,0,0,0,Sp2,3,3,0,0,0,0,BIR,PAL,Safe,5,1,2,3,3
587,0,28.5,0,0,0,0,Sp1,3,3,0,0,0,0,PAL,BIR,Safe,28.5,2,1,3,3
587,7,0,0,0,0,0,Sp2,3,3,0,0,0,0,BIR,PAL,Safe,7,1,2,3,3
588,0,20.5,0,0,0,0,Sp1,3,3,0,0,0,0,PAL,BIR,Safe,20.5,2,1,3,3
588,6.5,0,0,0,0,0,Sp2,3,3,0,0,0,0,BIR,PAL,Safe,6.5,1,2,3,3
598,0,18.5,0,0,0,0,Sp1,6,3,0,0,0,0,PAL,BIR,Safe,18.5,2,1,3,6
598,10,0,0,0,0,0,Sp2,6,3,0,0,0,0,BIR,PAL,Safe,10,1,2,6,3
599,0,0,0,0,0,0,Sp1,6,3,0,0,0,0,PAL,BIR,Safe,0,2,1,3,6
599,20.5,0,0,0,0,0,Sp2,6,3,0,0,0,0,BIR,PAL,Safe,20.5,1,2,6,3
600,0,12.5,0,0,0,0,Sp1,6,3,0,0,0,0,PAL,BIR,Safe,12.5,2,1,3,6
600,14.5,0,0,0,0,0,Sp2,6,3,0,0,0,0,BIR,PAL,Safe,14.5,1,2,6,3
610,0,17.5,0,0,0,0,Sp1,9,3,0,0,0,0,PAL,BIR,Safe,17.5,2,1,3,9
610,22,0,0,0,0,0,Sp2,9,3,0,0,0,0,BIR,PAL,Safe,22,1,2,9,3
611,0,16.5,0,0,0,0,Sp1,9,3,0,0,0,0,PAL,BIR,Safe,16.5,2,1,3,9
611,17,0,0,0,0,0,Sp2,9,3,0,0,0,0,BIR,PAL,Safe,17,1,2,9,3
612,0,20,0,0,0,0,Sp1,9,3,0,0,0,0,PAL,BIR,Safe,20,2,1,3,9
612,23.5,0,0,0,0,0,Sp2,9,3,0,0,0,0,BIR,PAL,Safe,23.5,1,2,9,3
622,0,17,0,0,0,0,Sp1,12,3,0,0,0,0,PAL,BIR,Safe,17,2,1,3,12
622,20,0,0,0,0,0,Sp2,12,3,0,0,0,0,BIR,PAL,Safe,20,1,2,12,3
623,0,16,0,0,0,0,Sp1,12,3,0,0,0,0,PAL,BIR,Safe,16,2,1,3,12
623,21,0,0,0,0,0,Sp2,12,3,0,0,0,0,BIR,PAL,Safe,21,1,2,12,3
624,0,16.5,0,0,0,0,Sp1,12,3,0,0,0,0,PAL,BIR,Safe,16.5,2,1,3,12
624,38,0,0,0,0,0,Sp2,12,3,0,0,0,0,BIR,PAL,Safe,38,1,2,12,3
634,0,33,0,0,0,0,Sp1,3,6,0,0,0,0,PAL,BIR,Safe,33,2,1,6,3
634,6.5,0,0,0,0,0,Sp2,3,6,0,0,0,0,BIR,PAL,Safe,6.5,1,2,3,6
635,0,35.5,0,0,0,0,Sp1,3,6,0,0,0,0,PAL,BIR,Safe,35.5,2,1,6,3
635,3,0,0,0,0,0,Sp2,3,6,0,0,0,0,BIR,PAL,Safe,3,1,2,3,6
636,0,27.5,0,0,0,0,Sp1,3,6,0,0,0,0,PAL,BIR,Safe,27.5,2,1,6,3
636,5,0,0,0,0,0,Sp2,3,6,0,0,0,0,BIR,PAL,Safe,5,1,2,3,6
646,0,25.5,0,0,0,0,Sp1,3,9,0,0,0,0,PAL,BIR,Safe,25.5,2,1,9,3
646,1.5,0,0,0,0,0,Sp2,3,9,0,0,0,0,BIR,PAL,Safe,1.5,1,2,3,9
647,0,28,0,0,0,0,Sp1,3,9,0,0,0,0,PAL,BIR,Safe,28,2,1,9,3
647,8.5,0,0,0,0,0,Sp2,3,9,0,0,0,0,BIR,PAL,Safe,8.5,1,2,3,9
